,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
abits:0/wbits:0,2.435141086578369,2.398620843887329,2.433952569961548,2.482539415359497,2.3884992599487305,1.995345115661621,2.0870420932769775,4.711350440979004,1.2490798234939575,4.383783340454102,4.631958961486816,4.411932945251465,4.436384201049805,8.427397727966309,2.170999526977539,0.0960751473903656,9.963933944702148,10.444958686828613
abits:0/wbits:1,2.4314894676208496,2.3981881141662598,2.4353456497192383,2.478217840194702,2.3877925872802734,1.9775201082229614,2.098734140396118,4.65687894821167,1.278693437576294,4.386632919311523,4.626941680908203,4.4018168449401855,4.431575775146484,8.442129135131836,2.180156946182251,0.09617576748132706,10.066882133483887,10.598013877868652
abits:0/wbits:2,2.4261839389801025,2.3983302116394043,2.42880916595459,2.4808430671691895,2.3896589279174805,1.9829314947128296,2.0695695877075195,4.652118682861328,1.2612308263778687,4.354724407196045,4.626582622528076,4.405980110168457,4.43871545791626,8.446951866149902,2.171907901763916,0.09524479508399963,10.365194320678711,10.560271263122559
abits:0/wbits:3,2.423938751220703,2.397364854812622,2.4287099838256836,2.4796409606933594,2.3867640495300293,1.9801552295684814,2.075068473815918,4.665002822875977,1.2828108072280884,4.3806610107421875,4.629520893096924,4.4177141189575195,4.437307357788086,8.447665214538574,2.161198616027832,0.09623584151268005,10.462113380432129,10.561837196350098
abits:0/wbits:4,2.4237873554229736,2.3990182876586914,2.4310994148254395,2.472956657409668,2.3864707946777344,1.9832324981689453,2.0839004516601562,4.624398231506348,1.2641379833221436,4.316512107849121,4.6214189529418945,4.417747497558594,4.436111927032471,8.46456527709961,2.1589014530181885,0.09599217772483826,10.186582565307617,10.268929481506348
abits:0/wbits:5,2.4285290241241455,2.395693778991699,2.4260659217834473,2.488776206970215,2.3701319694519043,1.985418677330017,2.132962942123413,4.893721580505371,1.3548665046691895,4.358015060424805,4.622219562530518,4.410490989685059,4.44221305847168,8.522502899169922,2.241985559463501,0.09936065971851349,9.96725845336914,9.73641586303711
abits:0/wbits:6,2.1643781661987305,2.392698287963867,2.4091148376464844,2.5117580890655518,2.361628532409668,1.9729424715042114,2.2024946212768555,5.057470798492432,1.4294359683990479,4.4483842849731445,4.639720916748047,4.438475131988525,4.499050617218018,8.722000122070312,2.6493685245513916,0.10224094986915588,8.493492126464844,8.046520233154297
abits:0/wbits:7,2.3972949981689453,2.407061815261841,2.523202896118164,2.4437191486358643,2.4011449813842773,1.9870007038116455,1.6452208757400513,1.907071828842163,1.0618481636047363,4.419344425201416,4.887442588806152,4.348121643066406,4.2832536697387695,6.405003070831299,1.4482996463775635,0.09023761749267578,11.784388542175293,1.4816327095031738
abits:1/wbits:0,2.4296820163726807,2.3970606327056885,2.433157444000244,2.4076809883117676,2.2879509925842285,1.787131905555725,1.7840893268585205,3.3984975814819336,0.48984062671661377,0.32410889863967896,1.0795066356658936,4.230306148529053,4.114566802978516,7.523021697998047,1.2365295886993408,0.08461809158325195,1.1449803113937378,3.313314914703369
abits:1/wbits:1,2.4283483028411865,2.397972583770752,2.4345741271972656,2.405970811843872,2.2858214378356934,1.7734497785568237,1.797184705734253,3.39231014251709,0.4961744546890259,0.3225390315055847,1.0468499660491943,4.222131252288818,4.109511375427246,7.5087785720825195,1.2383471727371216,0.08529653400182724,1.1431992053985596,3.295088052749634
abits:1/wbits:2,2.421830177307129,2.3979756832122803,2.428316354751587,2.408432960510254,2.287409543991089,1.781394124031067,1.7707552909851074,3.358198642730713,0.4924730658531189,0.32112330198287964,1.035423994064331,4.231592178344727,4.1127777099609375,7.508435249328613,1.2338272333145142,0.08380317687988281,1.1251331567764282,3.307933807373047
abits:1/wbits:3,2.4182991981506348,2.3968868255615234,2.4297666549682617,2.412320613861084,2.2842743396759033,1.782879114151001,1.7750346660614014,3.3560123443603516,0.504469096660614,0.32248103618621826,1.040672779083252,4.232254981994629,4.118941783905029,7.523480415344238,1.2445093393325806,0.08504027873277664,1.1322593688964844,3.3324811458587646
abits:1/wbits:4,2.4225974082946777,2.3987839221954346,2.4310450553894043,2.403599262237549,2.281831741333008,1.7830604314804077,1.7839899063110352,3.341796398162842,0.4926469027996063,0.3205760717391968,1.0652110576629639,4.238452434539795,4.118326663970947,7.543191909790039,1.2371281385421753,0.0851530060172081,1.1348564624786377,3.3994412422180176
abits:1/wbits:5,2.423809289932251,2.395604133605957,2.4257383346557617,2.4132614135742188,2.256959915161133,1.7860312461853027,1.83302903175354,3.6623430252075195,0.5404185056686401,0.32636934518814087,1.1430500745773315,4.24078369140625,4.126501083374023,7.652739524841309,1.284938097000122,0.08800926059484482,1.1493806838989258,2.691098690032959
abits:1/wbits:6,2.1643195152282715,2.3907318115234375,2.4077420234680176,2.4154152870178223,2.246122121810913,1.7728031873703003,1.9133963584899902,3.9701926708221436,0.5921658873558044,0.3580963611602783,1.4285472631454468,4.2633185386657715,4.21425724029541,7.984801292419434,1.5240082740783691,0.0900721549987793,1.5361342430114746,3.8514187335968018
abits:1/wbits:7,2.3989763259887695,2.4053335189819336,2.5047097206115723,2.3923211097717285,2.307952642440796,1.7816908359527588,1.359501838684082,1.2882163524627686,0.38777226209640503,0.23922696709632874,0.614940881729126,4.102420806884766,3.9178290367126465,5.428592681884766,0.8434683680534363,0.07872581481933594,0.4859338700771332,0.49113360047340393
abits:2/wbits:0,2.4215664863586426,2.3955259323120117,2.4214680194854736,2.2322235107421875,2.100884437561035,1.520369052886963,1.399186372756958,2.692656993865967,0.23966112732887268,0.25697410106658936,0.35173916816711426,3.934633255004883,3.460397243499756,6.009338855743408,1.0383501052856445,0.06418304145336151,0.957025408744812,7.393131256103516
abits:2/wbits:1,2.4209933280944824,2.3962197303771973,2.4235503673553467,2.233597755432129,2.0951991081237793,1.505128264427185,1.4097263813018799,2.690230369567871,0.2421460598707199,0.25575628876686096,0.3510376811027527,3.9277641773223877,3.452965497970581,5.997306823730469,1.0411806106567383,0.06440047919750214,0.9569804072380066,7.358778953552246
abits:2/wbits:2,2.420149803161621,2.396981716156006,2.417212963104248,2.231987476348877,2.0993237495422363,1.5169873237609863,1.389176845550537,2.6518142223358154,0.24018922448158264,0.2543829381465912,0.3455736041069031,3.932527780532837,3.4556705951690674,5.997491836547852,1.037399411201477,0.06338806450366974,0.9399062395095825,7.353981971740723
abits:2/wbits:3,2.416139841079712,2.3951282501220703,2.4184632301330566,2.242042064666748,2.0976181030273438,1.519066333770752,1.3915867805480957,2.652541160583496,0.24666708707809448,0.255463182926178,0.34853076934814453,3.931239604949951,3.4682865142822266,6.015796661376953,1.0472137928009033,0.06417160481214523,0.9465141296386719,7.36735200881958
abits:2/wbits:4,2.4169089794158936,2.3980660438537598,2.419992446899414,2.237107276916504,2.0904459953308105,1.5178196430206299,1.4006037712097168,2.639732837677002,0.24217911064624786,0.25262099504470825,0.3479188084602356,3.9306182861328125,3.463031053543091,6.0366692543029785,1.0396850109100342,0.06426773220300674,0.9472236037254333,7.251837730407715
abits:2/wbits:5,2.417330265045166,2.394827127456665,2.41355037689209,2.2339706420898438,2.06181001663208,1.5212815999984741,1.446312665939331,2.9625155925750732,0.26410722732543945,0.2585991621017456,0.37647876143455505,3.938778877258301,3.4803144931793213,6.19304895401001,1.0807929039001465,0.06698818504810333,0.9604423642158508,5.9244279861450195
abits:2/wbits:6,2.169801712036133,2.3895363807678223,2.397136926651001,2.2144274711608887,2.0515799522399902,1.505355954170227,1.5269169807434082,3.341717004776001,0.29136574268341064,0.28138911724090576,0.45766064524650574,3.9764294624328613,3.6225860118865967,6.765964984893799,1.2834140062332153,0.06893005222082138,1.2777671813964844,7.947503566741943
abits:2/wbits:7,2.3999223709106445,2.4007134437561035,2.4557862281799316,2.242330551147461,2.1232259273529053,1.516312837600708,1.0087648630142212,0.9719500541687012,0.18813088536262512,0.1900033950805664,0.21071463823318481,3.8425285816192627,3.07871675491333,4.006346702575684,0.7093146443367004,0.0592830665409565,0.4068076014518738,0.9413337707519531
abits:3/wbits:0,2.4146392345428467,2.39265513420105,2.3732213973999023,1.8250977993011475,1.7746644020080566,1.1093772649765015,0.9371860027313232,1.8907296657562256,0.13418897986412048,0.14071594178676605,0.19013725221157074,1.2190525531768799,1.0895047187805176,2.935126781463623,0.9132896661758423,0.03611879423260689,0.8237202763557434,0.005710124969482422
abits:3/wbits:1,2.4118764400482178,2.3928749561309814,2.3714253902435303,1.8272055387496948,1.7610609531402588,1.0926694869995117,0.9475136399269104,1.8906396627426147,0.13567280769348145,0.14028611779212952,0.18938188254833221,1.189206838607788,1.0800201892852783,2.932586193084717,0.9155450463294983,0.036415863782167435,0.825202226638794,0.005669784732162952
abits:3/wbits:2,2.411229133605957,2.3922343254089355,2.3711884021759033,1.8251662254333496,1.7702486515045166,1.110703706741333,0.9280990362167358,1.8542540073394775,0.13470077514648438,0.1397588849067688,0.18673595786094666,1.1894018650054932,1.0793063640594482,2.9314537048339844,0.912890613079071,0.03568859025835991,0.8091503381729126,0.005640506744384766
abits:3/wbits:3,2.4114837646484375,2.3936123847961426,2.371783494949341,1.8449562788009644,1.7714686393737793,1.1121892929077148,0.9311306476593018,1.8578201532363892,0.13821721076965332,0.1402650773525238,0.18788504600524902,1.2091796398162842,1.1092311143875122,2.949146270751953,0.9217376112937927,0.03642301633954048,0.8145378828048706,0.005646419711410999
abits:3/wbits:4,2.4130091667175293,2.392879009246826,2.372084140777588,1.8455485105514526,1.757380723953247,1.1081827878952026,0.9419015645980835,1.8475124835968018,0.1358231008052826,0.14032483100891113,0.18816901743412018,1.2036097049713135,1.1016154289245605,2.966355323791504,0.9140926599502563,0.036276817321777344,0.815811038017273,0.006088542751967907
abits:3/wbits:5,2.3929591178894043,2.3912904262542725,2.370370388031006,1.815443754196167,1.7305114269256592,1.1137824058532715,0.9851130247116089,2.1308765411376953,0.14828309416770935,0.14200687408447266,0.20389309525489807,1.2453703880310059,1.1146364212036133,3.1407532691955566,0.9508476257324219,0.037946321070194244,0.8272019624710083,0.003841400146484375
abits:3/wbits:6,2.1884608268737793,2.388690948486328,2.3636701107025146,1.7716469764709473,1.7209720611572266,1.0946851968765259,1.065294861793518,2.5144705772399902,0.1633571982383728,0.15817128121852875,0.24822264909744263,1.4264049530029297,1.369740605354309,3.8744592666625977,1.130575180053711,0.039506055414676666,1.1050481796264648,0.009024334140121937
abits:3/wbits:7,2.4003543853759766,2.3947806358337402,2.3091039657592773,1.8760448694229126,1.7936898469924927,1.1088073253631592,0.6058054566383362,0.6469488143920898,0.10540680587291718,0.09823822975158691,0.11281299591064453,0.9172730445861816,0.7410686016082764,1.648239016532898,0.6200355291366577,0.03294181823730469,0.34413281083106995,0.00047969818115234375
abits:4/wbits:0,2.415714740753174,2.363367795944214,2.1217193603515625,1.0380805730819702,1.2398746013641357,0.582930326461792,0.43941113352775574,1.0468605756759644,0.06181378290057182,0.006921196356415749,0.06713514029979706,0.0496274009346962,0.08472900837659836,0.12814798951148987,0.7648820877075195,0.03430604934692383,0.6738324165344238,0.0032634735107421875
abits:4/wbits:1,2.4194436073303223,2.3674349784851074,2.1139111518859863,1.0353760719299316,1.2206610441207886,0.5692973136901855,0.4458449184894562,1.0478801727294922,0.062262583523988724,0.006956195924431086,0.06675863265991211,0.04894628748297691,0.0827147513628006,0.12826499342918396,0.7658321857452393,0.03448648378252983,0.6743563413619995,0.0032591819763183594
abits:4/wbits:2,2.4169020652770996,2.3651328086853027,2.132570505142212,1.0366473197937012,1.2335445880889893,0.5913854837417603,0.4326774477958679,1.0234447717666626,0.06183037906885147,0.006906366441398859,0.06527881324291229,0.04934244230389595,0.0842365249991417,0.12890119850635529,0.7638728618621826,0.03385210037231445,0.6615041494369507,0.003235340118408203
abits:4/wbits:3,2.4074909687042236,2.3657619953155518,2.1269562244415283,1.0577328205108643,1.2371835708618164,0.5892117619514465,0.43530529737472534,1.0261999368667603,0.063337042927742,0.0069338795728981495,0.06586536765098572,0.04936675727367401,0.0855107307434082,0.1292283982038498,0.7717269062995911,0.03455715253949165,0.6658832430839539,0.003207683563232422
abits:4/wbits:4,2.410336494445801,2.363192081451416,2.1262710094451904,1.0650347471237183,1.2159816026687622,0.5837931632995605,0.4442528188228607,1.0206050872802734,0.06235899776220322,0.006907320115715265,0.0662512332201004,0.04954700544476509,0.08501940220594406,0.1303042471408844,0.7661423683166504,0.03429574891924858,0.6667073965072632,0.003539562225341797
abits:4/wbits:5,2.377546548843384,2.364306926727295,2.1482033729553223,1.017207145690918,1.197554111480713,0.5926723480224609,0.47444063425064087,1.213365077972412,0.06810841709375381,0.007031584158539772,0.07307405024766922,0.05060524865984917,0.08640356361865997,0.14028367400169373,0.7965653538703918,0.035977553576231,0.677412748336792,0.0021371841430664062
abits:4/wbits:6,2.128711223602295,2.3667373657226562,2.194230556488037,0.9880821108818054,1.1892952919006348,0.5767488479614258,0.5367439389228821,1.5137503147125244,0.0753641128540039,0.00804357510060072,0.09315033257007599,0.05573015287518501,0.1074502021074295,0.1841968595981598,0.9450653791427612,0.03744935989379883,0.916508138179779,0.005767345428466797
abits:4/wbits:7,2.400623321533203,2.3686094284057617,1.870754599571228,1.084916114807129,1.2534334659576416,0.5838477611541748,0.24338679015636444,0.3398241400718689,0.04810161888599396,0.005014324560761452,0.03687930107116699,0.03928742557764053,0.05543079227209091,0.07013559341430664,0.5160088539123535,0.031165314838290215,0.28299349546432495,0.000286102294921875
abits:5/wbits:0,2.434856414794922,2.237391233444214,1.3516113758087158,0.22562721371650696,0.573143720626831,0.14278249442577362,0.09650597721338272,0.3709220886230469,0.019806241616606712,0.002977275988087058,0.019847678020596504,0.03373370319604874,0.026381779462099075,0.0052776336669921875,0.5010415315628052,0.0248700138181448,0.4359075427055359,0.0033788681030273438
abits:5/wbits:1,2.4251065254211426,2.256549835205078,1.3360766172409058,0.2200705111026764,0.5577886700630188,0.13689927756786346,0.09924726188182831,0.37287646532058716,0.020054053515195847,0.0029629231430590153,0.019594192504882812,0.03308415412902832,0.026070689782500267,0.005341529846191406,0.5019721984863281,0.025098416954278946,0.4364197850227356,0.0033473968505859375
