,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
abits:0/wbits:0,0.1420508176088333,0.14197427034378052,0.1418895423412323,0.14126190543174744,0.14145994186401367,0.1411718875169754,0.1414438784122467,0.28180181980133057,0.28277260065078735,0.28336700797080994,0.28293901681900024,0.2824855148792267,0.2825494110584259,0.5641158819198608,0.567546010017395,0.5668401718139648,0.5672143697738647,0.5660792589187622
abits:0/wbits:1,0.14201809465885162,0.14190803468227386,0.1420356035232544,0.14128746092319489,0.14158028364181519,0.14116401970386505,0.1413886845111847,0.28177183866500854,0.282825231552124,0.2833057940006256,0.28305891156196594,0.2822311520576477,0.2827666103839874,0.5643434524536133,0.5675292611122131,0.567122220993042,0.567450761795044,0.5657593607902527
abits:0/wbits:2,0.14206841588020325,0.14188915491104126,0.14182499051094055,0.14129552245140076,0.1415109634399414,0.1412009298801422,0.14162516593933105,0.28148216009140015,0.28285616636276245,0.2835303544998169,0.28296902775764465,0.2825177013874054,0.28241389989852905,0.5640840530395508,0.5675406455993652,0.5666608214378357,0.5673238039016724,0.5660569667816162
abits:0/wbits:3,0.14203351736068726,0.141903817653656,0.14187338948249817,0.1413142830133438,0.14156968891620636,0.1412099301815033,0.14151640236377716,0.28149449825286865,0.2829389274120331,0.28345975279808044,0.2829465866088867,0.28253477811813354,0.28248023986816406,0.5642231702804565,0.5681260824203491,0.5664795637130737,0.5666917562484741,0.5659996271133423
abits:0/wbits:4,0.1419556438922882,0.14193595945835114,0.14184631407260895,0.141287162899971,0.14155781269073486,0.14117272198200226,0.141402930021286,0.28165876865386963,0.2828410267829895,0.28346362709999084,0.2830027639865875,0.28223130106925964,0.28253525495529175,0.564483642578125,0.5678400993347168,0.5667900443077087,0.5670573711395264,0.5659112930297852
abits:0/wbits:5,0.14120304584503174,0.14200477302074432,0.1417572796344757,0.14122948050498962,0.1418309509754181,0.14125606417655945,0.14124397933483124,0.28319305181503296,0.2831565737724304,0.2836689352989197,0.2827375531196594,0.2828115224838257,0.28258734941482544,0.5638659000396729,0.5675904154777527,0.5667726397514343,0.5672346353530884,0.5639606714248657
abits:0/wbits:6,0.12928661704063416,0.14199620485305786,0.14121514558792114,0.14126437902450562,0.1420145481824875,0.14123651385307312,0.14064371585845947,0.28195881843566895,0.28274089097976685,0.2830613851547241,0.28263533115386963,0.28353023529052734,0.282476007938385,0.5645421743392944,0.5654004216194153,0.5669245719909668,0.5649992227554321,0.5654821991920471
abits:0/wbits:7,0.14088758826255798,0.14160461723804474,0.1411404013633728,0.14154550433158875,0.14136448502540588,0.14122876524925232,0.14120322465896606,0.2787821292877197,0.281794935464859,0.2844246029853821,0.28200069069862366,0.28038644790649414,0.2818121910095215,0.5679090023040771,0.56647789478302,0.5659434795379639,0.5634714961051941,0.4614788889884949
abits:1/wbits:0,0.14213183522224426,0.14203117787837982,0.1419464349746704,0.1412040889263153,0.14156658947467804,0.14122021198272705,0.14143261313438416,0.2815368175506592,0.2826877236366272,0.2832977771759033,0.28285109996795654,0.28211432695388794,0.2826552391052246,0.5644567012786865,0.5675491094589233,0.5664162039756775,0.5668869018554688,0.5654318332672119
abits:1/wbits:1,0.14188958704471588,0.14189667999744415,0.14208370447158813,0.1412915289402008,0.1415790617465973,0.14120501279830933,0.14138559997081757,0.281572550535202,0.28258946537971497,0.2831974923610687,0.28286266326904297,0.2817886769771576,0.28275981545448303,0.5642125010490417,0.567729115486145,0.5659423470497131,0.5674188137054443,0.5662319660186768
abits:1/wbits:2,0.14195752143859863,0.14186760783195496,0.1418607234954834,0.1412886381149292,0.14155173301696777,0.141218900680542,0.14163340628147125,0.281391441822052,0.28273192048072815,0.28311631083488464,0.28306519985198975,0.2821352183818817,0.28300896286964417,0.5643523931503296,0.567983865737915,0.5663827657699585,0.5670878887176514,0.5656395554542542
abits:1/wbits:3,0.14194321632385254,0.1419183909893036,0.1418919861316681,0.1412702202796936,0.14157801866531372,0.14127178490161896,0.1415184736251831,0.2815246284008026,0.28283634781837463,0.2831937372684479,0.28305864334106445,0.28216949105262756,0.2826286554336548,0.5642879009246826,0.5675296783447266,0.5665205717086792,0.5671337842941284,0.5660531520843506
abits:1/wbits:4,0.14194265007972717,0.141910582780838,0.1418309360742569,0.14127662777900696,0.1416250616312027,0.14119258522987366,0.14145928621292114,0.2816219925880432,0.2827454209327698,0.2834930121898651,0.28314316272735596,0.2819927930831909,0.28286826610565186,0.5642150044441223,0.5676537752151489,0.5663979053497314,0.5671975612640381,0.5656877160072327
abits:1/wbits:5,0.1413303017616272,0.1419069766998291,0.14182859659194946,0.14124584197998047,0.1418178826570511,0.14126482605934143,0.14131498336791992,0.2830221951007843,0.28292861580848694,0.2834016680717468,0.2827948331832886,0.2826133072376251,0.28247687220573425,0.5639286637306213,0.56745445728302,0.5666073560714722,0.5670003890991211,0.5639849901199341
abits:1/wbits:6,0.12934015691280365,0.14196671545505524,0.1412736475467682,0.14123249053955078,0.14199812710285187,0.14134669303894043,0.14068230986595154,0.28191739320755005,0.28271934390068054,0.2832096219062805,0.28249281644821167,0.2835983633995056,0.2821909785270691,0.5644714832305908,0.5657647252082825,0.5666314363479614,0.5651772022247314,0.5660131573677063
abits:1/wbits:7,0.14093759655952454,0.14151626825332642,0.14114916324615479,0.14157849550247192,0.14134876430034637,0.14120876789093018,0.14125403761863708,0.27849215269088745,0.2817023992538452,0.2855086326599121,0.2819751501083374,0.28109022974967957,0.28168928623199463,0.5680452585220337,0.5663890242576599,0.5658072233200073,0.5637969970703125,0.4594995379447937
abits:2/wbits:0,0.14198847115039825,0.14181405305862427,0.14195692539215088,0.14123734831809998,0.1416032761335373,0.14118632674217224,0.1414574235677719,0.28137272596359253,0.28250741958618164,0.2829486131668091,0.28303200006484985,0.2815445065498352,0.28277260065078735,0.565125584602356,0.5674608945846558,0.5660245418548584,0.5672282576560974,0.5652598738670349
abits:2/wbits:1,0.1418856531381607,0.14173045754432678,0.1421164572238922,0.14128203690052032,0.14168986678123474,0.1412704586982727,0.14140543341636658,0.2813027501106262,0.2825547754764557,0.2826516628265381,0.2831838130950928,0.28112754225730896,0.283039391040802,0.5643804669380188,0.5674415826797485,0.5660926699638367,0.5676320791244507,0.565786600112915
abits:2/wbits:2,0.14199313521385193,0.1417970508337021,0.14195115864276886,0.14124169945716858,0.14162807166576385,0.14126434922218323,0.14171567559242249,0.28127217292785645,0.2822853624820709,0.2828916311264038,0.28322547674179077,0.28144705295562744,0.28296148777008057,0.5651367902755737,0.5681425333023071,0.565930962562561,0.5673236846923828,0.5655122995376587
abits:2/wbits:3,0.14185267686843872,0.1417689323425293,0.141993910074234,0.14127802848815918,0.1417110562324524,0.14132645726203918,0.1416621208190918,0.28136536478996277,0.2824650704860687,0.2827306389808655,0.2829826772212982,0.28152909874916077,0.2830497920513153,0.5652467012405396,0.5675418376922607,0.5661236047744751,0.5672001838684082,0.5657252073287964
abits:2/wbits:4,0.14193589985370636,0.1417885571718216,0.14190366864204407,0.14128625392913818,0.14172959327697754,0.14127486944198608,0.14156413078308105,0.2812565565109253,0.2824391722679138,0.28296488523483276,0.2832549214363098,0.2814006209373474,0.28280800580978394,0.5650156736373901,0.5677944421768188,0.5662223696708679,0.5672181844711304,0.5659152865409851
abits:2/wbits:5,0.14131686091423035,0.1417270004749298,0.14186188578605652,0.14125430583953857,0.14193856716156006,0.1412675678730011,0.14127686619758606,0.2829302251338959,0.28291988372802734,0.2831628918647766,0.2828603982925415,0.28189679980278015,0.28268933296203613,0.5643266439437866,0.5676627159118652,0.5666652917861938,0.567430853843689,0.5635572075843811
abits:2/wbits:6,0.12880900502204895,0.14193055033683777,0.14130888879299164,0.14124412834644318,0.14208552241325378,0.14132317900657654,0.14063328504562378,0.28216552734375,0.28281158208847046,0.2831357717514038,0.2824329137802124,0.2830013632774353,0.282362163066864,0.56443190574646,0.5663481950759888,0.5669650435447693,0.566035270690918,0.5658985376358032
abits:2/wbits:7,0.14090242981910706,0.14137130975723267,0.14116829633712769,0.14148664474487305,0.14139874279499054,0.1412612944841385,0.14130941033363342,0.27819302678108215,0.28166961669921875,0.287855327129364,0.2820735573768616,0.282751202583313,0.281502902507782,0.5672357678413391,0.5662147998809814,0.5653238892555237,0.5633654594421387,0.45539191365242004
abits:3/wbits:0,0.14166949689388275,0.14181038737297058,0.14204880595207214,0.14119966328144073,0.14176931977272034,0.14134055376052856,0.14164330065250397,0.281581312417984,0.28210416436195374,0.28291505575180054,0.28285446763038635,0.2818925380706787,0.28301092982292175,0.56534743309021,0.5676863789558411,0.5655421614646912,0.5668483376502991,0.5655492544174194
abits:3/wbits:1,0.14198023080825806,0.14166605472564697,0.1420448124408722,0.14127056300640106,0.14192096889019012,0.14139145612716675,0.14150920510292053,0.2814098596572876,0.28216785192489624,0.28275465965270996,0.28290095925331116,0.28167077898979187,0.28292685747146606,0.5656960010528564,0.5676529407501221,0.5658626556396484,0.5670136213302612,0.5653946399688721
abits:3/wbits:2,0.14190059900283813,0.14177116751670837,0.14199690520763397,0.14128440618515015,0.14182399213314056,0.14138096570968628,0.14185571670532227,0.28150004148483276,0.2819753587245941,0.2826082706451416,0.2828409671783447,0.28190916776657104,0.2829252779483795,0.5659974813461304,0.5677693486213684,0.5655301213264465,0.5669444799423218,0.5653268098831177
abits:3/wbits:3,0.14199019968509674,0.1417754888534546,0.14204466342926025,0.14125525951385498,0.14187929034233093,0.14139559864997864,0.14175280928611755,0.2815355658531189,0.2821624279022217,0.2827196717262268,0.28278103470802307,0.28175270557403564,0.28307434916496277,0.5656154751777649,0.5676038265228271,0.5653741955757141,0.5673595666885376,0.5651699304580688
abits:3/wbits:4,0.14171195030212402,0.1416698396205902,0.14186614751815796,0.14121291041374207,0.14184828102588654,0.14131329953670502,0.1416245996952057,0.28178802132606506,0.2819960117340088,0.2826801538467407,0.2826892137527466,0.2817661464214325,0.2829604148864746,0.5649728775024414,0.567896842956543,0.5654016733169556,0.5676029920578003,0.5653966665267944
abits:3/wbits:5,0.14115214347839355,0.14178404211997986,0.14192041754722595,0.14126218855381012,0.14205345511436462,0.1413118988275528,0.14133913815021515,0.2820636034011841,0.28260982036590576,0.28283625841140747,0.2828916907310486,0.2820422649383545,0.283122718334198,0.5651208162307739,0.5679188966751099,0.5659871101379395,0.5668079853057861,0.5632675290107727
abits:3/wbits:6,0.12829957902431488,0.14192935824394226,0.14142519235610962,0.14126253128051758,0.14205077290534973,0.14140701293945312,0.14067456126213074,0.2826152443885803,0.28276973962783813,0.28283053636550903,0.28214114904403687,0.28259849548339844,0.2822694778442383,0.5636454224586487,0.5670287609100342,0.5660275220870972,0.5659874677658081,0.5656794309616089
abits:3/wbits:7,0.14075039327144623,0.14143288135528564,0.14115434885025024,0.14138756692409515,0.14157640933990479,0.141347274184227,0.14123746752738953,0.2776564359664917,0.28179824352264404,0.29437822103500366,0.2826797068119049,0.28864699602127075,0.2817395031452179,0.5675112009048462,0.5654890537261963,0.5649552345275879,0.5625312924385071,0.446244478225708
abits:4/wbits:0,0.14179566502571106,0.14163745939731598,0.1416511833667755,0.14135050773620605,0.14210936427116394,0.14141441881656647,0.1418069303035736,0.2818702459335327,0.2819424867630005,0.28815847635269165,0.2818467617034912,0.2899380326271057,0.28204572200775146,0.5672815442085266,0.5667784810066223,0.5639712810516357,0.5658515691757202,0.5641056299209595
