,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
abits:0/wbits:0,1.1608502864837646,1.1616507768630981,1.1607632637023926,1.1650679111480713,1.161007285118103,1.164170742034912,1.161192536354065,2.3295512199401855,2.3400402069091797,2.3228602409362793,2.3378591537475586,2.323709487915039,2.296628952026367,4.647582054138184,4.015689373016357,1.8954325914382935,2.6844778060913086,0.9435158967971802
abits:0/wbits:1,1.1609539985656738,1.1616641283035278,1.1606122255325317,1.164736270904541,1.1602282524108887,1.1645255088806152,1.1613163948059082,2.3302557468414307,2.339869499206543,2.323512077331543,2.338709831237793,2.324378252029419,2.298069953918457,4.649405479431152,4.01985502243042,1.8970001935958862,2.6848275661468506,0.9416584968566895
abits:0/wbits:2,1.160396933555603,1.1614506244659424,1.160775065422058,1.1654250621795654,1.160595178604126,1.1651463508605957,1.161391258239746,2.330063581466675,2.3402600288391113,2.323061943054199,2.3376197814941406,2.3244519233703613,2.2992444038391113,4.651185035705566,4.017726421356201,1.8916500806808472,2.6655240058898926,0.9434747695922852
abits:0/wbits:3,1.1616313457489014,1.1611120700836182,1.1611096858978271,1.1643974781036377,1.160619854927063,1.1646332740783691,1.1613600254058838,2.3304738998413086,2.339413642883301,2.3224072456359863,2.3375754356384277,2.3244714736938477,2.298287868499756,4.649938106536865,4.021646499633789,1.8986371755599976,2.6718697547912598,0.9427744746208191
abits:0/wbits:4,1.1608518362045288,1.1616780757904053,1.1612492799758911,1.1639680862426758,1.1605010032653809,1.1647533178329468,1.1611939668655396,2.3294525146484375,2.3392162322998047,2.322091579437256,2.3374602794647217,2.3247175216674805,2.297952175140381,4.646726608276367,4.015040874481201,1.898195505142212,2.6735873222351074,0.9519017934799194
abits:0/wbits:5,1.156815767288208,1.161362886428833,1.161006212234497,1.1661059856414795,1.1601828336715698,1.1647887229919434,1.1613736152648926,2.325667381286621,2.335570812225342,2.3229622840881348,2.3353848457336426,2.323803663253784,2.297703742980957,4.644726753234863,4.037740707397461,1.9176493883132935,2.6913294792175293,0.8473080396652222
abits:0/wbits:6,1.069751501083374,1.1609323024749756,1.160993218421936,1.1697179079055786,1.1607811450958252,1.1663672924041748,1.1618351936340332,2.3210644721984863,2.3323211669921875,2.3171467781066895,2.330842971801758,2.319955825805664,2.3043808937072754,4.631865501403809,4.106591701507568,1.934248685836792,3.034348964691162,1.0423052310943604
abits:0/wbits:7,1.16194486618042,1.1623449325561523,1.166901707649231,1.160874605178833,1.160691261291504,1.1643093824386597,1.1801085472106934,2.577827215194702,2.350468635559082,2.3597657680511475,2.3613429069519043,2.3348937034606934,2.286449432373047,4.8770527839660645,3.6889100074768066,1.8490447998046875,1.7491323947906494,0.16763225197792053
abits:1/wbits:0,1.16033935546875,1.161912202835083,1.161208152770996,1.1663508415222168,1.1604987382888794,1.165074348449707,1.1628494262695312,2.3298165798187256,2.3444900512695312,2.320706367492676,2.3324837684631348,2.286142349243164,2.2313365936279297,4.597146987915039,3.900690793991089,1.805379033088684,2.0553951263427734,0.8548222184181213
abits:1/wbits:1,1.161697268486023,1.1616230010986328,1.1612768173217773,1.165635108947754,1.1605572700500488,1.1649959087371826,1.1620476245880127,2.329665184020996,2.3421108722686768,2.3204596042633057,2.3332955837249756,2.283810615539551,2.232022523880005,4.597893714904785,3.9047436714172363,1.808377742767334,2.0604052543640137,0.8527618646621704
abits:1/wbits:2,1.1613757610321045,1.1617389917373657,1.1607457399368286,1.1661454439163208,1.1603150367736816,1.1656345129013062,1.1619975566864014,2.3326303958892822,2.3431921005249023,2.321012496948242,2.3336939811706543,2.2861578464508057,2.232254981994629,4.596613883972168,3.9020628929138184,1.7999839782714844,2.043666362762451,0.8551938533782959
abits:1/wbits:3,1.1615482568740845,1.1613593101501465,1.1612634658813477,1.1657447814941406,1.1604797840118408,1.165048599243164,1.1614044904708862,2.3307394981384277,2.343639373779297,2.3209404945373535,2.333493709564209,2.286452531814575,2.233759880065918,4.597768783569336,3.9075891971588135,1.809309482574463,2.0485472679138184,0.8536684513092041
abits:1/wbits:4,1.160487174987793,1.1613819599151611,1.1611266136169434,1.1649847030639648,1.160346269607544,1.1650848388671875,1.161391019821167,2.330423593521118,2.3438901901245117,2.3192436695098877,2.3315272331237793,2.287290573120117,2.232849597930908,4.593039512634277,3.898970603942871,1.806694507598877,2.0501489639282227,0.863614559173584
abits:1/wbits:5,1.157146692276001,1.1617956161499023,1.160904884338379,1.1668214797973633,1.1606765985488892,1.1658833026885986,1.1615363359451294,2.3246936798095703,2.3398308753967285,2.320835590362549,2.3309319019317627,2.2869887351989746,2.2351040840148926,4.587878227233887,3.9291834831237793,1.8291852474212646,2.06416392326355,0.7566403150558472
abits:1/wbits:6,1.0695114135742188,1.161765217781067,1.161780834197998,1.1710638999938965,1.1606789827346802,1.166681170463562,1.1612977981567383,2.3192107677459717,2.335728406906128,2.312633514404297,2.330150842666626,2.2876362800598145,2.2408788204193115,4.550000190734863,4.011787414550781,1.8456075191497803,2.367903709411621,0.9441778659820557
