,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
abits:0/wbits:0,1.4093939171289094e-07,1.0654230209183879e-07,1.3470275916915853e-07,2.4673909138073213e-08,1.203698047902435e-07,1.411990524502471e-09,1.1764814189518802e-07,2.132383087882772e-07,2.7060195861849934e-07,2.0348124962765723e-08,3.436671249801293e-07,5.232777766650543e-09,3.416371328057721e-07,3.362429197295569e-07,3.0725823307875544e-07,1.0711411846386909e-07,3.201230356353335e-07,1.0876857459152234e-07
abits:0/wbits:1,1.440832875232445e-07,9.032260095409583e-08,1.4452302821155172e-07,2.9462626116583124e-08,1.27425209939247e-07,5.54564394406043e-10,1.1908377928193659e-07,2.124629645550158e-07,2.7810301617137156e-07,2.0213064999552444e-08,3.437176019360777e-07,4.52837412012741e-09,3.3923424780368805e-07,3.3633568818913773e-07,3.102522896369919e-07,1.0657225857357844e-07,3.1769559427630156e-07,1.0550678553045145e-07
abits:0/wbits:2,1.406735918862978e-07,9.969949132937472e-08,1.3609064808406401e-07,3.1675199352321215e-08,1.246851297764806e-07,6.414211384253576e-10,1.2654390957322903e-07,1.9663139028125443e-07,2.7018541004508734e-07,1.957687345566228e-08,3.441673470661044e-07,5.252786650089547e-09,3.442355591687374e-07,3.373743311385624e-07,3.0974024411989376e-07,1.0481497270120599e-07,3.1425315683009103e-07,1.0763520208456612e-07
abits:0/wbits:3,1.342366431344999e-07,1.0310236575605813e-07,1.395717390550999e-07,3.220748112653382e-08,1.2079544831067324e-07,8.569713827455416e-10,1.24633515952155e-07,1.954899744305294e-07,2.7665873858495615e-07,2.1233972802292556e-08,3.415648279769812e-07,5.063611752120778e-09,3.425420800340362e-07,3.4240201784996316e-07,3.089426172664389e-07,1.0637026548465656e-07,3.148352334392257e-07,1.0518408544157865e-07
abits:0/wbits:4,1.387170414091088e-07,9.566974767949432e-08,1.322932803304866e-07,2.7309170036460273e-08,1.2897157830593642e-07,6.361915438901633e-10,1.2370401236694306e-07,1.9317712940392084e-07,2.750316525634844e-07,2.0203515305183828e-08,3.437849045440089e-07,5.611127562588081e-09,3.443283276283182e-07,3.4338609111728147e-07,3.060295057366602e-07,1.0678135708985792e-07,3.171462594764307e-07,1.198666836899065e-07
abits:0/wbits:5,1.514831637905445e-08,1.0114285942108836e-07,1.455300662200898e-07,2.6668431019061245e-08,1.3901080819778144e-07,8.71068550623022e-10,2.0110883269808255e-07,3.1788340493221767e-07,3.1530771593679674e-07,2.635852069943212e-08,3.6006758818984963e-07,8.082224667305127e-09,3.449467840255238e-07,3.803243089350872e-07,3.201430445187725e-07,1.200179440274951e-07,3.19548234983813e-07,4.6743451775910216e-08
abits:0/wbits:6,4.547473508864641e-13,1.2851842257077806e-07,2.0762081476277672e-07,1.0205440048594028e-08,1.4526835911965463e-07,5.909441824769601e-10,3.657391971501056e-07,3.841601028398145e-07,3.414729690121021e-07,7.838661986170337e-08,4.818330125999637e-07,2.5644112611189485e-08,4.0793474909150973e-07,5.891906766919419e-07,4.3441832531243563e-07,1.3487868955053273e-07,5.312822395353578e-07,2.824242528731702e-07
abits:0/wbits:7,3.349318831169512e-07,5.001788849767763e-08,8.972619980340824e-09,7.599055606988259e-08,1.3434191714623012e-07,3.2953266781987622e-09,9.85528458841145e-09,1.8239916244056076e-09,1.5137084119487554e-07,3.6925484891980886e-10,1.1915608411072753e-07,4.388311936054379e-10,1.5034220268717036e-07,1.3665308529198228e-07,1.391118189530971e-07,9.67754090197559e-08,6.336162527986744e-08,1.4042967677596607e-08
abits:1/wbits:0,1.373343820887385e-07,1.0233384273306001e-07,1.3578483049059287e-07,2.169304025301244e-08,1.2306350072321948e-07,1.1320935300318524e-09,1.1861402526847087e-07,2.0102743292227387e-07,2.606725502118934e-07,1.8288574210600927e-08,3.3954938771785237e-07,4.342382453614846e-09,3.3812557376222685e-07,3.3149717637570575e-07,3.0146202334435657e-07,1.0272896133756149e-07,3.093518898822367e-07,1.0129579663953336e-07
abits:1/wbits:1,1.3991689229442272e-07,8.662436812301166e-08,1.4492866284854244e-07,2.6373072614660487e-08,1.2950727068528067e-07,4.1950443119276315e-10,1.1909196473425254e-07,1.9890558178303763e-07,2.69621978077339e-07,1.816215444705449e-08,3.382310751476325e-07,3.718469088198617e-09,3.338800524943508e-07,3.32241143041756e-07,3.036075213458389e-07,1.0260794169880683e-07,3.0761111702304333e-07,9.835750347519934e-08
